site_name,local_cluster,local_severity_rank,pooled_cluster,pooled_severity_rank,phenotype,n,death_pct,imv72_pct,sofa_total_mean,icu_los_median
Emory,1,1,2,2,Low-flow O2 / No ARF,2359,0.14582450190758797,0.04196693514200932,4.150487494701145,63.11666666666667
Emory,2,2,1,1,Room air / No ARF,1849,0.05949161709031909,0.1719848566792861,4.030286641427799,44.56666666666667
Emory,3,3,3,3,NIV / No ARF,1466,0.1855388813096862,0.06002728512960437,4.871759890859481,90.29166666666669
Emory,5,4,5,5,IMV / Hypoxemic/mixed ARF,1042,0.28982725527831094,1,10.602687140115163,145.20833333333334
Emory,4,5,4,4,IMV / Predom. no ARF,1943,0.43386515697375194,1,10.737519300051469,158.48333333333332
Hopkins,5,1,3,3,NIV / No ARF,1108,0.34287638935668574,0.05658470865611317,4.816099696867632,148.45
Hopkins,3,2,2,2,Low-flow O2 / No ARF,4660,0.15724126882409484,0.3040692085869913,6.31400192246075,77.43333333333334
Hopkins,4,3,1,1,Room air / No ARF,3934,0.09157335357752894,0.4740937559309167,6.148984627063959,53.583333333333336
Hopkins,2,4,5,5,IMV / Hypoxemic/mixed ARF,2738,0.29547313880556314,0.9599127352058904,11.4485955822198,281.93333333333334
Hopkins,1,5,4,4,IMV / Predom. no ARF,4465,0.3966727971911051,0.999916401939475,10.437217856545727,188.05
Michigan,2,1,2,2,Low-flow O2 / No ARF,1713,0.23117338003502627,0.24576765907764156,5.0700525394045535,71.18333333333334
Michigan,5,2,3,3,NIV / No ARF,656,0.3125,0.2698170731707317,4.280487804878049,141
Michigan,3,3,1,1,Room air / No ARF,970,0.18556701030927836,0.3402061855670103,5.409278350515464,48.08333333333333
Michigan,1,4,4,4,IMV / Predom. no ARF,1567,0.4313975749840459,1,10.287172941927247,151.95
Michigan,4,5,5,5,IMV / Hypoxemic/mixed ARF,1521,0.40828402366863903,1,12.354372123602891,283.1666666666667
Minnesota,3,1,1,1,Room air / No ARF,3180,0.08993710691823899,0.2569182389937107,5.215723270440251,42.90833333333333
Minnesota,1,2,2,2,Low-flow O2 / No ARF,4199,0.162181471778995,0.18599666587282687,5.928554417718504,63.88333333333333
Minnesota,5,3,3,3,NIV / No ARF,1490,0.34429530201342284,0.08993288590604027,5.3953020134228185,121.075
Minnesota,4,4,4,4,IMV / Predom. no ARF,3128,0.3960997442455243,1,10.502557544757034,137.91666666666666
Minnesota,2,5,5,5,IMV / Hypoxemic/mixed ARF,1351,0.4359733530717987,0.9844559585492229,11.911917098445596,262.3333333333333
NU,4,1,2,2,Low-flow O2 / No ARF,4289,0.21403590580554907,0.09536022382839825,4.6546980648169765,48.583333333333336
NU,5,2,1,1,Room air / No ARF,2970,0.13400673400673402,0.22188552188552188,4.2983164983165,36.075
NU,2,3,3,3,NIV / No ARF,3350,0.30955223880597016,0.13522388059701493,5.329850746268655,92
NU,1,4,5,5,IMV / Hypoxemic/mixed ARF,3503,0.33571224664573224,0.9980017128175848,10.3739651727091,128.81666666666666
NU,3,5,4,4,IMV / Predom. no ARF,3770,0.5183023872679046,1,10.408488063660473,141.8
OHSU,2,1,3,3,NIV / No ARF,267,0.3258426966292135,0.13857677902621723,4.580524344569288,99.6
OHSU,1,2,1,1,Room air / No ARF,1337,0.10695587135377713,0.3575168287210172,5.183246073298429,55.333333333333336
OHSU,5,3,2,2,Low-flow O2 / No ARF,780,0.18974358974358976,0.28205128205128205,5.397435897435898,70.42500000000001
OHSU,3,4,4,4,IMV / Predom. no ARF,868,0.3986175115207373,0.9873271889400922,9.92741935483871,191.025
OHSU,4,5,5,5,IMV / Hypoxemic/mixed ARF,393,0.356234096692112,0.9770992366412212,10.837150127226463,259.23333333333335
Penn,4,1,1,1,Room air / No ARF,4509,0.12419605233976493,0.180527833222444,3.967398536260811,43.68333333333333
Penn,1,2,2,2,Low-flow O2 / No ARF,6980,0.20687679083094557,0.12249283667621776,4.456017191977077,71.39166666666668
Penn,5,3,3,3,NIV / No ARF,2294,0.43940714908456846,0.05666957279860506,4.918482999128161,139.46666666666667
Penn,2,4,5,5,IMV / Hypoxemic/mixed ARF,5510,0.40381125226860254,0.97005444646098,11.030671506352087,210.44166666666663
Penn,3,5,4,4,IMV / Predom. no ARF,4035,0.5048327137546469,0.9992565055762082,10.16728624535316,168.16666666666666
RUSH,3,1,2,2,Low-flow O2 / No ARF,1240,0.10241935483870968,0.04112903225806452,3.5314516129032256,71.125
RUSH,1,2,1,1,Room air / No ARF,1275,0.06274509803921569,0.2015686274509804,3.9098039215686273,51.416666666666664
RUSH,5,3,3,3,NIV / No ARF,322,0.16770186335403728,0.12111801242236024,4.503105590062112,166.00833333333333
RUSH,4,4,5,5,IMV / Hypoxemic/mixed ARF,194,0.08247422680412371,1,8.639175257731958,114.70833333333334
RUSH,2,5,4,4,IMV / Predom. no ARF,686,0.3469387755102041,1,10.142857142857142,226.35
UCMC,5,1,1,1,Room air / No ARF,707,0.10325318246110324,0.38472418670438474,4.9943422913719955,36.88333333333333
UCMC,1,2,2,2,Low-flow O2 / No ARF,1164,0.16065292096219932,0.33075601374570446,5.18470790378007,44.49166666666667
UCMC,2,3,3,3,NIV / No ARF,1288,0.31288819875776397,0.2748447204968944,5.655279503105591,98.24166666666667
UCMC,4,4,4,4,IMV / Predom. no ARF,3247,0.443178318447798,0.99722821065599,10.369263935940872,145.13333333333333
UCMC,3,5,5,5,IMV / Hypoxemic/mixed ARF,783,0.5363984674329502,1,12.922094508301404,232.81666666666663
UCSF,4,1,1,1,Room air / No ARF,465,0.13118279569892474,0.28817204301075267,5.04516129032258,43.7
UCSF,3,2,2,2,Low-flow O2 / No ARF,637,0.22762951334379905,0.25588697017268447,5.938775510204081,64.21666666666667
UCSF,2,3,3,3,NIV / No ARF,342,0.4239766081871345,0.13742690058479531,5.818713450292398,100.74166666666667
UCSF,1,4,4,4,IMV / Predom. no ARF,580,0.3810344827586207,1,9.78448275862069,150.78333333333333
UCSF,5,5,5,5,IMV / Hypoxemic/mixed ARF,323,0.48297213622291024,0.9907120743034056,12.393188854489164,250.2
