county_code,site_name,county_total,dominant_cluster,dominant_cluster_prop,n_clusters_present,cluster_entropy,county_total_suppressed,dominant_cluster_prop_suppressed,dominant_cluster_suppressed,cluster_entropy_suppressed
01073,nu,1,2,1,1,-0,NA,NA,NA,NA
01081,nu,1,3,1,1,-0,NA,NA,NA,NA
01129,nu,1,3,1,1,-0,NA,NA,NA,NA
02090,nu,1,3,1,1,-0,NA,NA,NA,NA
04013,nu,8,2,0.25,4,1.3862943611198906,NA,NA,NA,NA
04015,nu,1,2,1,1,-0,NA,NA,NA,NA
04019,nu,2,3,1,1,-0,NA,NA,NA,NA
04027,nu,1,1,1,1,-0,NA,NA,NA,NA
05007,nu,1,3,1,1,-0,NA,NA,NA,NA
05093,nu,1,1,1,1,-0,NA,NA,NA,NA
05119,nu,1,4,1,1,-0,NA,NA,NA,NA
05131,nu,1,5,1,1,-0,NA,NA,NA,NA
05143,nu,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
06037,nu,3,2,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
06061,nu,1,5,1,1,-0,NA,NA,NA,NA
06073,nu,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
06075,nu,1,2,1,1,-0,NA,NA,NA,NA
06111,nu,1,1,1,1,-0,NA,NA,NA,NA
06113,nu,2,4,0.5,2,0.6931471805599453,NA,NA,NA,NA
08005,nu,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
08014,nu,1,1,1,1,-0,NA,NA,NA,NA
08031,nu,2,1,1,1,-0,NA,NA,NA,NA
08041,nu,1,2,1,1,-0,NA,NA,NA,NA
08069,nu,1,3,1,1,-0,NA,NA,NA,NA
08117,nu,1,3,1,1,-0,NA,NA,NA,NA
08123,nu,1,2,1,1,-0,NA,NA,NA,NA
09001,nu,1,3,1,1,-0,NA,NA,NA,NA
09190,nu,1,1,1,1,-0,NA,NA,NA,NA
10003,nu,1,4,1,1,-0,NA,NA,NA,NA
11001,nu,3,3,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
12011,nu,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
12015,nu,2,4,0.5,2,0.6931471805599453,NA,NA,NA,NA
12021,nu,6,4,0.3333333333333333,5,1.5607104090414063,NA,NA,NA,NA
12023,nu,1,4,1,1,-0,NA,NA,NA,NA
12031,nu,2,1,1,1,-0,NA,NA,NA,NA
12057,nu,3,4,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
12061,nu,1,1,1,1,-0,NA,NA,NA,NA
12069,nu,1,4,1,1,-0,NA,NA,NA,NA
12071,nu,9,2,0.4444444444444444,4,1.2730283365896256,NA,NA,NA,NA
12081,nu,1,4,1,1,-0,NA,NA,NA,NA
12083,nu,1,4,1,1,-0,NA,NA,NA,NA
12086,nu,4,3,0.5,3,1.0397207708399179,NA,NA,NA,NA
12091,nu,1,5,1,1,-0,NA,NA,NA,NA
12099,nu,1,1,1,1,-0,NA,NA,NA,NA
12101,nu,3,4,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
12103,nu,2,3,1,1,-0,NA,NA,NA,NA
12105,nu,5,1,0.4,3,1.0549201679861442,NA,NA,NA,NA
12109,nu,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
12111,nu,1,4,1,1,-0,NA,NA,NA,NA
12115,nu,9,2,0.5555555555555556,4,1.1490596969706202,NA,NA,NA,NA
12117,nu,1,4,1,1,-0,NA,NA,NA,NA
12119,nu,1,2,1,1,-0,NA,NA,NA,NA
12127,nu,2,4,0.5,2,0.6931471805599453,NA,NA,NA,NA
13051,nu,1,1,1,1,-0,NA,NA,NA,NA
13057,nu,1,3,1,1,-0,NA,NA,NA,NA
13059,nu,1,4,1,1,-0,NA,NA,NA,NA
13067,nu,3,2,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
13089,nu,2,2,1,1,-0,NA,NA,NA,NA
13121,nu,1,4,1,1,-0,NA,NA,NA,NA
15007,nu,1,5,1,1,-0,NA,NA,NA,NA
16019,nu,2,5,1,1,-0,NA,NA,NA,NA
17007,nu,24,1,0.2916666666666667,5,1.5125512105117327,24,0.2916666666666667,1,1.5125512105117327
17011,nu,5,1,0.4,4,1.3321790402101223,NA,NA,NA,NA
17019,nu,22,4,0.4090909090909091,5,1.3976017860180037,22,0.4090909090909091,4,1.3976017860180037
17021,nu,1,3,1,1,-0,NA,NA,NA,NA
17025,nu,1,1,1,1,-0,NA,NA,NA,NA
17029,nu,5,2,0.4,4,1.3321790402101223,NA,NA,NA,NA
17031,nu,6359,4,0.25192640352256646,5,1.5975107378577713,6359,0.25192640352256646,4,1.5975107378577713
17035,nu,1,1,1,1,-0,NA,NA,NA,NA
17037,nu,1508,2,0.3003978779840849,5,1.5659452410615973,1508,0.3003978779840849,2,1.5659452410615973
17039,nu,1,2,1,1,-0,NA,NA,NA,NA
17041,nu,2,5,1,1,-0,NA,NA,NA,NA
17043,nu,2470,3,0.2728744939271255,5,1.588135130804192,2470,0.2728744939271255,3,1.588135130804192
17053,nu,1,5,1,1,-0,NA,NA,NA,NA
17055,nu,3,2,1,1,-0,NA,NA,NA,NA
17057,nu,4,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
17063,nu,20,1,0.35,5,1.4964159349401391,20,0.35,1,1.4964159349401391
17073,nu,1,3,1,1,-0,NA,NA,NA,NA
17075,nu,5,3,0.4,4,1.3321790402101223,NA,NA,NA,NA
17077,nu,2,4,1,1,-0,NA,NA,NA,NA
17085,nu,1,4,1,1,-0,NA,NA,NA,NA
17089,nu,1590,3,0.2641509433962264,5,1.5905439580922547,1590,0.2641509433962264,3,1.5905439580922547
17091,nu,39,2,0.3076923076923077,5,1.5255280645866933,39,0.3076923076923077,2,1.5255280645866933
17093,nu,128,3,0.3125,5,1.5494080525887106,128,0.3125,3,1.5494080525887106
17095,nu,5,1,0.4,4,1.3321790402101223,NA,NA,NA,NA
17097,nu,1796,4,0.267260579064588,5,1.5828533883271279,1796,0.267260579064588,4,1.5828533883271279
17099,nu,172,2,0.29069767441860467,5,1.5712064084307051,172,0.29069767441860467,2,1.5712064084307051
17103,nu,32,2,0.34375,5,1.5138420153609657,32,0.34375,2,1.5138420153609657
17105,nu,8,1,0.5,3,0.9743147528693494,NA,NA,NA,NA
17107,nu,1,1,1,1,-0,NA,NA,NA,NA
17109,nu,2,3,1,1,-0,NA,NA,NA,NA
17111,nu,2456,4,0.2520358306188925,5,1.595046191328685,2456,0.2520358306188925,4,1.595046191328685
17113,nu,17,1,0.35294117647058826,4,1.3197299215186697,17,0.35294117647058826,1,1.3197299215186697
17115,nu,9,2,0.3333333333333333,5,1.464816384890813,NA,NA,NA,NA
17117,nu,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
17121,nu,1,1,1,1,-0,NA,NA,NA,NA
17123,nu,1,5,1,1,-0,NA,NA,NA,NA
17141,nu,67,2,0.2835820895522388,5,1.5882256067513179,67,0.2835820895522388,2,1.5882256067513179
17143,nu,7,1,0.42857142857142855,3,1.0042424730540764,NA,NA,NA,NA
17145,nu,1,1,1,1,-0,NA,NA,NA,NA
17147,nu,3,4,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
17161,nu,12,1,0.4166666666666667,4,1.2650013752730702,12,0.4166666666666667,1,1.2650013752730702
17163,nu,2,3,1,1,-0,NA,NA,NA,NA
17167,nu,3,2,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
17177,nu,5,1,0.4,3,1.0549201679861442,NA,NA,NA,NA
17179,nu,5,3,0.4,4,1.3321790402101223,NA,NA,NA,NA
17181,nu,1,4,1,1,-0,NA,NA,NA,NA
17183,nu,3,2,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
17187,nu,1,4,1,1,-0,NA,NA,NA,NA
17195,nu,21,1,0.2857142857142857,5,1.555265503074954,21,0.2857142857142857,1,1.555265503074954
17197,nu,281,3,0.24555160142348753,5,1.5857544339843002,281,0.24555160142348753,3,1.5857544339843002
17199,nu,3,5,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
17201,nu,50,1,0.36,5,1.5090677572560873,50,0.36,1,1.5090677572560873
17203,nu,1,4,1,1,-0,NA,NA,NA,NA
18003,nu,1,2,1,1,-0,NA,NA,NA,NA
18011,nu,1,1,1,1,-0,NA,NA,NA,NA
18033,nu,1,1,1,1,-0,NA,NA,NA,NA
18039,nu,5,1,0.8,2,0.5004024235381879,NA,NA,NA,NA
18045,nu,1,4,1,1,-0,NA,NA,NA,NA
18057,nu,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
18061,nu,1,1,1,1,-0,NA,NA,NA,NA
18067,nu,1,4,1,1,-0,NA,NA,NA,NA
18069,nu,2,4,0.5,2,0.6931471805599453,NA,NA,NA,NA
18073,nu,15,2,0.26666666666666666,5,1.5292482930376914,15,0.26666666666666666,2,1.5292482930376914
18081,nu,1,4,1,1,-0,NA,NA,NA,NA
18087,nu,2,1,1,1,-0,NA,NA,NA,NA
18089,nu,153,1,0.30718954248366015,5,1.5746397541387414,153,0.30718954248366015,1,1.5746397541387414
18091,nu,28,1,0.2857142857142857,5,1.5519018493652719,28,0.2857142857142857,1,1.5519018493652719
18095,nu,1,3,1,1,-0,NA,NA,NA,NA
18097,nu,6,3,0.5,3,1.0114042647073518,NA,NA,NA,NA
18099,nu,1,1,1,1,-0,NA,NA,NA,NA
18107,nu,1,2,1,1,-0,NA,NA,NA,NA
18111,nu,1,1,1,1,-0,NA,NA,NA,NA
18127,nu,63,4,0.3492063492063492,5,1.510933838507737,63,0.3492063492063492,4,1.510933838507737
18141,nu,11,1,0.36363636363636365,5,1.515707952085713,11,0.36363636363636365,1,1.515707952085713
18149,nu,3,1,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
18151,nu,1,4,1,1,-0,NA,NA,NA,NA
18157,nu,2,3,1,1,-0,NA,NA,NA,NA
18181,nu,1,1,1,1,-0,NA,NA,NA,NA
19035,nu,1,4,1,1,-0,NA,NA,NA,NA
19087,nu,1,1,1,1,-0,NA,NA,NA,NA
19103,nu,1,1,1,1,-0,NA,NA,NA,NA
19113,nu,1,5,1,1,-0,NA,NA,NA,NA
19155,nu,1,4,1,1,-0,NA,NA,NA,NA
19163,nu,7,1,0.2857142857142857,4,1.351783994289646,NA,NA,NA,NA
19169,nu,1,3,1,1,-0,NA,NA,NA,NA
19175,nu,1,4,1,1,-0,NA,NA,NA,NA
20035,nu,1,3,1,1,-0,NA,NA,NA,NA
20173,nu,1,3,1,1,-0,NA,NA,NA,NA
21083,nu,1,2,1,1,-0,NA,NA,NA,NA
21111,nu,1,1,1,1,-0,NA,NA,NA,NA
21157,nu,3,4,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
21199,nu,1,2,1,1,-0,NA,NA,NA,NA
22033,nu,1,1,1,1,-0,NA,NA,NA,NA
22069,nu,1,1,1,1,-0,NA,NA,NA,NA
24003,nu,1,5,1,1,-0,NA,NA,NA,NA
24005,nu,1,4,1,1,-0,NA,NA,NA,NA
24031,nu,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
24033,nu,1,1,1,1,-0,NA,NA,NA,NA
24510,nu,1,2,1,1,-0,NA,NA,NA,NA
25013,nu,1,2,1,1,-0,NA,NA,NA,NA
25017,nu,3,1,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
26005,nu,1,2,1,1,-0,NA,NA,NA,NA
26021,nu,9,1,0.4444444444444444,4,1.2148896539491203,NA,NA,NA,NA
26027,nu,2,1,1,1,-0,NA,NA,NA,NA
26061,nu,1,3,1,1,-0,NA,NA,NA,NA
26065,nu,1,2,1,1,-0,NA,NA,NA,NA
26077,nu,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
26087,nu,1,2,1,1,-0,NA,NA,NA,NA
26091,nu,2,4,1,1,-0,NA,NA,NA,NA
26093,nu,1,1,1,1,-0,NA,NA,NA,NA
26099,nu,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
26121,nu,3,1,1,1,-0,NA,NA,NA,NA
26125,nu,5,1,0.4,4,1.3321790402101223,NA,NA,NA,NA
26127,nu,1,3,1,1,-0,NA,NA,NA,NA
26139,nu,2,2,1,1,-0,NA,NA,NA,NA
26145,nu,1,2,1,1,-0,NA,NA,NA,NA
26149,nu,1,1,1,1,-0,NA,NA,NA,NA
26159,nu,1,3,1,1,-0,NA,NA,NA,NA
26161,nu,3,5,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
26163,nu,1,1,1,1,-0,NA,NA,NA,NA
27003,nu,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
27037,nu,3,2,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
27053,nu,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
27123,nu,1,1,1,1,-0,NA,NA,NA,NA
28047,nu,1,3,1,1,-0,NA,NA,NA,NA
28059,nu,1,3,1,1,-0,NA,NA,NA,NA
28083,nu,1,1,1,1,-0,NA,NA,NA,NA
29043,nu,1,4,1,1,-0,NA,NA,NA,NA
29055,nu,1,1,1,1,-0,NA,NA,NA,NA
29077,nu,1,1,1,1,-0,NA,NA,NA,NA
29095,nu,1,1,1,1,-0,NA,NA,NA,NA
29099,nu,1,1,1,1,-0,NA,NA,NA,NA
29213,nu,1,4,1,1,-0,NA,NA,NA,NA
29510,nu,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
31055,nu,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
31079,nu,1,1,1,1,-0,NA,NA,NA,NA
32003,nu,8,1,0.375,4,1.3208883431493221,NA,NA,NA,NA
32031,nu,1,2,1,1,-0,NA,NA,NA,NA
34003,nu,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
34017,nu,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
34019,nu,1,3,1,1,-0,NA,NA,NA,NA
34027,nu,1,3,1,1,-0,NA,NA,NA,NA
35001,nu,1,3,1,1,-0,NA,NA,NA,NA
35017,nu,1,4,1,1,-0,NA,NA,NA,NA
35043,nu,2,1,1,1,-0,NA,NA,NA,NA
36027,nu,1,3,1,1,-0,NA,NA,NA,NA
36029,nu,1,2,1,1,-0,NA,NA,NA,NA
36047,nu,1,3,1,1,-0,NA,NA,NA,NA
36061,nu,1,4,1,1,-0,NA,NA,NA,NA
36071,nu,1,5,1,1,-0,NA,NA,NA,NA
36119,nu,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
37049,nu,1,5,1,1,-0,NA,NA,NA,NA
37119,nu,3,5,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
37129,nu,1,1,1,1,-0,NA,NA,NA,NA
38017,nu,1,1,1,1,-0,NA,NA,NA,NA
39035,nu,2,4,1,1,-0,NA,NA,NA,NA
39039,nu,1,5,1,1,-0,NA,NA,NA,NA
39041,nu,1,3,1,1,-0,NA,NA,NA,NA
39043,nu,1,4,1,1,-0,NA,NA,NA,NA
39045,nu,1,1,1,1,-0,NA,NA,NA,NA
39049,nu,1,2,1,1,-0,NA,NA,NA,NA
39055,nu,1,4,1,1,-0,NA,NA,NA,NA
39061,nu,3,4,0.6666666666666666,2,0.6365141682948128,NA,NA,NA,NA
39085,nu,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
39095,nu,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
39113,nu,1,1,1,1,-0,NA,NA,NA,NA
39133,nu,1,3,1,1,-0,NA,NA,NA,NA
39145,nu,1,5,1,1,-0,NA,NA,NA,NA
39153,nu,1,4,1,1,-0,NA,NA,NA,NA
39155,nu,1,4,1,1,-0,NA,NA,NA,NA
39165,nu,1,3,1,1,-0,NA,NA,NA,NA
39173,nu,1,5,1,1,-0,NA,NA,NA,NA
40027,nu,1,3,1,1,-0,NA,NA,NA,NA
41051,nu,2,4,0.5,2,0.6931471805599453,NA,NA,NA,NA
42003,nu,1,1,1,1,-0,NA,NA,NA,NA
42011,nu,1,2,1,1,-0,NA,NA,NA,NA
42013,nu,1,5,1,1,-0,NA,NA,NA,NA
42019,nu,1,1,1,1,-0,NA,NA,NA,NA
42045,nu,1,4,1,1,-0,NA,NA,NA,NA
42069,nu,1,2,1,1,-0,NA,NA,NA,NA
42091,nu,1,2,1,1,-0,NA,NA,NA,NA
42095,nu,1,4,1,1,-0,NA,NA,NA,NA
42101,nu,2,4,1,1,-0,NA,NA,NA,NA
42115,nu,1,1,1,1,-0,NA,NA,NA,NA
45015,nu,1,2,1,1,-0,NA,NA,NA,NA
45033,nu,1,3,1,1,-0,NA,NA,NA,NA
45045,nu,1,3,1,1,-0,NA,NA,NA,NA
45079,nu,1,2,1,1,-0,NA,NA,NA,NA
46013,nu,1,1,1,1,-0,NA,NA,NA,NA
46083,nu,1,1,1,1,-0,NA,NA,NA,NA
46099,nu,1,2,1,1,-0,NA,NA,NA,NA
47037,nu,1,3,1,1,-0,NA,NA,NA,NA
47053,nu,1,5,1,1,-0,NA,NA,NA,NA
47065,nu,1,3,1,1,-0,NA,NA,NA,NA
47105,nu,1,2,1,1,-0,NA,NA,NA,NA
47141,nu,1,5,1,1,-0,NA,NA,NA,NA
47187,nu,1,4,1,1,-0,NA,NA,NA,NA
48029,nu,6,3,0.5,4,1.242453324894,NA,NA,NA,NA
48085,nu,2,1,1,1,-0,NA,NA,NA,NA
48091,nu,1,4,1,1,-0,NA,NA,NA,NA
48113,nu,2,2,1,1,-0,NA,NA,NA,NA
48141,nu,3,1,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
48157,nu,1,4,1,1,-0,NA,NA,NA,NA
48201,nu,5,5,0.6,2,0.6730116670092565,NA,NA,NA,NA
48253,nu,1,1,1,1,-0,NA,NA,NA,NA
48355,nu,1,1,1,1,-0,NA,NA,NA,NA
48373,nu,1,5,1,1,-0,NA,NA,NA,NA
48439,nu,1,5,1,1,-0,NA,NA,NA,NA
48453,nu,1,1,1,1,-0,NA,NA,NA,NA
48485,nu,1,5,1,1,-0,NA,NA,NA,NA
49047,nu,1,5,1,1,-0,NA,NA,NA,NA
51015,nu,1,1,1,1,-0,NA,NA,NA,NA
51017,nu,1,1,1,1,-0,NA,NA,NA,NA
51059,nu,1,1,1,1,-0,NA,NA,NA,NA
51650,nu,1,2,1,1,-0,NA,NA,NA,NA
53011,nu,1,2,1,1,-0,NA,NA,NA,NA
53033,nu,4,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
53063,nu,1,2,1,1,-0,NA,NA,NA,NA
53067,nu,1,5,1,1,-0,NA,NA,NA,NA
54061,nu,1,1,1,1,-0,NA,NA,NA,NA
54077,nu,1,1,1,1,-0,NA,NA,NA,NA
54097,nu,1,3,1,1,-0,NA,NA,NA,NA
55001,nu,1,4,1,1,-0,NA,NA,NA,NA
55009,nu,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
55025,nu,3,2,0.3333333333333333,3,1.0986122886681096,NA,NA,NA,NA
55027,nu,1,1,1,1,-0,NA,NA,NA,NA
55039,nu,1,4,1,1,-0,NA,NA,NA,NA
55059,nu,25,2,0.32,5,1.524285804205122,25,0.32,2,1.524285804205122
55063,nu,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
55071,nu,1,2,1,1,-0,NA,NA,NA,NA
55079,nu,6,1,0.3333333333333333,4,1.3296613488547582,NA,NA,NA,NA
55083,nu,1,3,1,1,-0,NA,NA,NA,NA
55085,nu,1,3,1,1,-0,NA,NA,NA,NA
55101,nu,6,4,0.6666666666666666,3,0.8675632284814612,NA,NA,NA,NA
55105,nu,4,5,0.5,3,1.0397207708399179,NA,NA,NA,NA
55113,nu,1,2,1,1,-0,NA,NA,NA,NA
55117,nu,1,4,1,1,-0,NA,NA,NA,NA
55125,nu,1,2,1,1,-0,NA,NA,NA,NA
55127,nu,14,2,0.35714285714285715,4,1.3337360272028098,14,0.35714285714285715,2,1.3337360272028098
55131,nu,4,2,0.75,2,0.5623351446188083,NA,NA,NA,NA
55133,nu,1,3,1,1,-0,NA,NA,NA,NA
55139,nu,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
